U1_18RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),28x32 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
76,8.27.21 4:00,#N/A,522,675,9921,100,0,104,19,3,0,1,884,250,120,59.6,102,26
77,8.27.21 6:00,#N/A,522,675,9921,101,0,104,19,3,0,1,884,250,120,59.7,102,26
78,8.27.21 8:00,#N/A,522,675,9921,101,0,104,19,3,0,1,884,250,120,59.7,102,26
79,8.27.21 10:00,#N/A,522,675,9920,101,0,105,19,3,0,1,878,250,120,59.7,102,26
80,8.27.21 12:00,#N/A,522,675,9919,101,0,105,19,3,0,1,878,250,120,59.7,102,26
81,8.27.21 14:00,#N/A,522,675,9918,102,0,105,19,3,0,1,878,250,120,59.7,102,26
82,8.27.21 16:00,#N/A,522,675,9916,102,0,106,19,3,0,1,878,250,120,59.7,102,26
83,8.27.21 18:00,#N/A,522,675,9916,102,0,106,19,3,0,1,878,250,120,59.7,102,26
84,8.27.21 20:00,#N/A,522,675,9915,103,0,106,20,3,0,1,878,250,120,59.7,102,26
85,8.27.21 22:00,#N/A,522,675,9915,103,0,107,20,3,0,1,878,250,120,59.7,102,28
86,8.28.21 0:00,#N/A,522,675,9915,103,0,107,20,3,0,1,878,250,120,59.9,102,28
87,8.28.21 2:00,#N/A,521,674,9911,103,0,107,20,3,0,1,878,250,120,59.9,102,28
88,8.28.21 4:00,#N/A,521,674,9911,104,0,108,20,3,0,1,878,250,120,60,102,28
89,8.28.21 6:00,#N/A,521,675,9914,104,0,108,20,3,0,1,878,250,120,60,102,28
90,8.28.21 8:00,#N/A,521,675,9913,104,0,108,21,3,0,1,871,250,120,60,102,28
91,8.28.21 10:00,#N/A,521,675,9913,104,0,108,21,3,0,1,871,250,120,59.6,102,28
92,8.28.21 12:00,#N/A,521,674,9912,104,0,108,21,3,0,1,871,250,120,59.3,102,28
93,8.28.21 14:00,#N/A,521,674,9911,104,0,108,21,3,0,1,871,250,120,58.2,102,28
94,8.28.21 16:00,#N/A,521,674,9911,104,0,108,21,3,0,1,871,250,120,58.3,102,28
95,8.28.21 18:00,#N/A,521,674,9910,104,0,108,21,3,0,1,864,250,120,59,102,28
96,8.28.21 20:00,#N/A,521,674,9909,105,0,109,21,3,0,1,867,250,120,59,102,27
97,8.28.21 22:00,#N/A,521,674,9910,105,0,110,21,3,0,1,867,250,120,59.1,102,26
98,8.29.21 0:00,#N/A,521,674,9909,105,0,110,21,3,0,1,864,250,120,59.2,102,26
99,8.29.21 2:00,#N/A,521,674,9909,106,0,110,21,3,0,1,857,250,120,59.4,102,26
